subject,course_code,course_title,weekdays,time,location
ACCT,351,Intermediate Financial Accounting 1.,MW,04:05 pm-05:25 pm,BRONF 360
ACCT,351,Intermediate Financial Accounting 1.,MW,10:05 am-11:25 am,ARMST 260
ACCT,352,Intermediate Financial Accounting 2.,TR,11:35 am-12:55 pm,BRONF 002
ACCT,352,Intermediate Financial Accounting 2.,TR,10:05 am-11:25 am,BRONF 002
ACCT,354,Financial Statement Analysis.,MW,01:05 pm-02:25 pm,BRONF 002
ACCT,361,Management Accounting.,TR,01:05 pm-02:25 pm,BRONF 423
ACCT,361,Management Accounting.,TR,11:35 am-12:55 pm,BRONF 340
ACCT,362,Cost Accounting.,MW,04:05 pm-05:25 pm,BRONF 340
ACCT,362,Cost Accounting.,MW,10:05 am-11:25 am,BRONF 340
ACCT,385,Principles of Taxation.,MW,11:35 am-12:55 pm,BRONF 360
ACCT,451,Data Analytics in Capital Market.,TR,08:35 am-09:55 am,ARMST 075
ACCT,452,Financial Reporting Valuation.,TR,10:05 am-11:25 am,BRONF 210
ACCT,453,Advanced Financial Accounting.,MW,08:35 am-09:55 am,ARMST 265
ACCT,455,Development of Accounting Thought.,MW,10:05 am-11:25 am,BRONF 001
ACCT,455,Development of Accounting Thought.,MW,04:05 pm-05:25 pm,BRONF 002
ACCT,463,Management Control.,T,02:35 pm-05:25 pm,ARMST 255
ACCT,475,Principles of Auditing.,TR,08:35 am-09:55 am,BRONF 340
ACCT,486,Business Taxation 2.,MW,02:35 pm-03:55 pm,BRONF 360
ACCT,618,Financial Reporting: Structure and Analysis.,T,08:35 am-11:25 am,ARMST 375
ACCT,618,Financial Reporting: Structure and Analysis.,T,08:35 am-11:25 am,ARMST 265
ACCT,626,Data Analytics in Accounting.,R,02:35 pm-05:25 pm,ARMST 075
ACCT,626,Data Analytics in Accounting.,R,02:35 pm-03:55 pm,ARMST 075
AEBI,122,Cell Biology.,MW,01:05 pm-02:25 pm,RAYMND 2-045
AEBI,211,Organisms 2.,TR,11:35 am-12:55 pm,CENTEN 1-163
AEBI,211,Organisms 2.,M,03:35 pm-06:25 pm,MACSTW B-023
AEBI,211,Organisms 2.,T,02:35 pm-05:25 pm,MACSTW B-023
AEBI,211,Organisms 2.,W,02:35 pm-05:25 pm,MACSTW B-023
AECH,111,General Chemistry 2.,MW,11:35 am-12:55 pm,RAYMND 2-045
AECH,111,General Chemistry 2.,F,09:35 am-12:25 pm,MACSTW B-031
