subject,course_code,type,course_title,weekdays,time,instructors,location
ACCT,351,Lecture,Intermediate Financial Accounting 1.,MW,04:05 pm-05:25 pm,Melissa Marginson,BRONF 360
ACCT,351,Lecture,Intermediate Financial Accounting 1.,MW,10:05 am-11:25 am,Melissa Marginson,ARMST 260
ACCT,352,Lecture,Intermediate Financial Accounting 2.,TR,11:35 am-12:55 pm,Amanda Stephanie Abrams,BRONF 002
ACCT,352,Lecture,Intermediate Financial Accounting 2.,TR,10:05 am-11:25 am,Amanda Stephanie Abrams,BRONF 002
ACCT,354,Lecture,Financial Statement Analysis.,MW,01:05 pm-02:25 pm,Matthew Cote,BRONF 002
ACCT,361,Lecture,Management Accounting.,TR,01:05 pm-02:25 pm,Ralph Cecere,BRONF 423
ACCT,361,Lecture,Management Accounting.,TR,11:35 am-12:55 pm,Ralph Cecere,BRONF 340
ACCT,362,Lecture,Cost Accounting.,MW,04:05 pm-05:25 pm,Philippe Levy,BRONF 340
ACCT,362,Lecture,Cost Accounting.,MW,10:05 am-11:25 am,Philippe Levy,BRONF 340
ACCT,385,Lecture,Principles of Taxation.,MW,11:35 am-12:55 pm,Brian Wenzel,BRONF 360
ACCT,451,Lecture,Data Analytics in Capital Market.,TR,08:35 am-09:55 am,Hongping Tan,ARMST 075
ACCT,452,Lecture,Financial Reporting Valuation.,TR,10:05 am-11:25 am,Hongping Tan,BRONF 210
ACCT,452,Lecture,Financial Reporting Valuation.,TR,10:05 am-11:25 am,Hongping Tan,BRONF 205
ACCT,453,Lecture,Advanced Financial Accounting.,MW,08:35 am-09:55 am,Matthew Cote,ARMST 265
ACCT,455,Lecture,Development of Accounting Thought.,MW,10:05 am-11:25 am,Guang Ma,BRONF 001
ACCT,455,Lecture,Development of Accounting Thought.,MW,04:05 pm-05:25 pm,Guang Ma,BRONF 002
ACCT,463,Lecture,Management Control.,T,02:35 pm-05:25 pm,Philippe Levy,ARMST 255
ACCT,475,Lecture,Principles of Auditing.,TR,08:35 am-09:55 am,Ralph Cecere,BRONF 340
ACCT,486,Lecture,Business Taxation 2.,MW,02:35 pm-03:55 pm,Melissa Marginson,BRONF 360
ACCT,618,Lecture,Financial Reporting: Structure and Analysis.,T,08:35 am-11:25 am,Brian Wenzel,ARMST 375
ACCT,618,Lecture,Financial Reporting: Structure and Analysis.,T,08:35 am-11:25 am,Brian Wenzel,ARMST 265
ACCT,626,Lecture,Data Analytics in Accounting.,R,02:35 pm-05:25 pm,Hongping Tan,ARMST 075
ACCT,626,Lecture,Data Analytics in Accounting.,R,02:35 pm-03:55 pm,Hongping Tan,ARMST 075
AEBI,122,Lecture,Cell Biology.,MW,01:05 pm-02:25 pm,Fernando Altamura,RAYMND 2-045
AEBI,211,Lecture,Organisms 2.,TR,11:35 am-12:55 pm,Jessica Head,CENTEN 1-163
AEBI,211,Laboratory,Organisms 2.,M,03:35 pm-06:25 pm,Jessica Head,MACSTW B-023
AEBI,211,Laboratory,Organisms 2.,T,02:35 pm-05:25 pm,Jessica Head,MACSTW B-023
AEBI,211,Laboratory,Organisms 2.,W,02:35 pm-05:25 pm,Jessica Head,MACSTW B-023
AECH,111,Lecture,General Chemistry 2.,MW,11:35 am-12:55 pm,Alice D Cherestes,RAYMND 2-045
AECH,111,Laboratory,General Chemistry 2.,F,09:35 am-12:25 pm,Alice D Cherestes,MACSTW B-031
AECH,111,Laboratory,General Chemistry 2.,R,09:35 am-12:25 pm,Alice D Cherestes,MACSTW B-031
AECH,111,Laboratory,General Chemistry 2.,F,02:35 pm-05:25 pm,Alice D Cherestes,MACSTW B-031
AECH,111,Laboratory,General Chemistry 2.,R,02:35 pm-05:25 pm,Alice D Cherestes,MACSTW B-031
AECH,111,Tutorial,General Chemistry 2.,M,10:35 am-11:25 am,Alice D Cherestes,RAYMND 2-045
AECH,111,Tutorial,General Chemistry 2.,W,10:35 am-11:25 am,Alice D Cherestes,RAYMND 2-045
AEMA,102,Lecture,Calculus 2.,TR,11:35 am-12:55 pm,Fernando Altamura,RAYMND 2-045
AEMA,102,Conference,Calculus 2.,F,12:35 pm-02:25 pm,Fernando Altamura,MACSTW B-016
AEMA,102,Conference,Calculus 2.,R,12:35 pm-02:25 pm,Fernando Altamura,MACSTW B-016
AEMA,305,Lecture,Differential Equations.,TR,11:35 am-12:55 pm,David Titley-Péloquin,CENTEN 1-150
AEMA,305,Conference,Differential Equations.,W,01:05 pm-01:55 pm,David Titley-Péloquin,CENTEN 1-150
AEMA,305,Conference,Differential Equations.,W,01:05 pm-01:55 pm,David Titley-Péloquin,CENTEN 1-150
AEMA,310,Lecture,Statistical Methods 1.,TR,11:35 am-12:55 pm,Kelly Bona,RAYMND 2-046
AEMA,310,Laboratory,Statistical Methods 1.,W,02:35 pm-04:25 pm,Kelly Bona,MACSTW 2-028
AEMA,310,Laboratory,Statistical Methods 1.,W,02:35 pm-04:25 pm,Kelly Bona,MACSTW 2-028
AEMA,310,Laboratory,Statistical Methods 1.,F,11:35 am-01:25 pm,Kelly Bona,MACSTW 2-028
AEMA,310,Laboratory,Statistical Methods 1.,R,11:35 am-01:25 pm,Kelly Bona,MACSTW 2-028
AEMA,310,Laboratory,Statistical Methods 1.,M,01:35 pm-03:25 pm,Kelly Bona,MACSTW 2-028
AEMA,310,Laboratory,Statistical Methods 1.,W,01:35 pm-03:25 pm,Kelly Bona,MACSTW 2-028
AEMA,310,Laboratory,Statistical Methods 1.,F,03:35 pm-05:25 pm,Kelly Bona,MACSTW 2-028
AEMA,310,Laboratory,Statistical Methods 1.,R,03:35 pm-05:25 pm,Kelly Bona,MACSTW 2-028
AEMA,411,Lecture,Experimental Designs 01.,TR,11:35 am-12:55 pm,Pierre R L Dutilleul,RAYMND 3-045
AEPH,114,Lecture,Introductory Physics 2.,MW,08:35 am-09:55 am,David Titley-Péloquin,RAYMND 2-045
AEPH,114,Laboratory,Introductory Physics 2.,W,02:35 pm-04:25 pm,David Titley-Péloquin,MACSTW B-016
AEPH,114,Laboratory,Introductory Physics 2.,W,02:35 pm-04:25 pm,David Titley-Péloquin,MACSTW B-016
AEPH,114,Laboratory,Introductory Physics 2.,W,04:35 pm-06:25 pm,David Titley-Péloquin,MACSTW B-016
AEPH,114,Laboratory,Introductory Physics 2.,W,04:35 pm-06:25 pm,David Titley-Péloquin,MACSTW B-016
AEPH,114,Laboratory,Introductory Physics 2.,R,02:35 pm-04:25 pm,David Titley-Péloquin,MACSTW B-016
AEPH,114,Tutorial,Introductory Physics 2.,F,08:35 am-09:25 am,David Titley-Péloquin,MACSTW B-016
AEPH,114,Tutorial,Introductory Physics 2.,F,08:35 am-09:25 am,David Titley-Péloquin,RAYMND 2-045
AEPH,114,Tutorial,Introductory Physics 2.,R,08:35 am-09:25 am,David Titley-Péloquin,MACSTW B-016
AEPH,114,Tutorial,Introductory Physics 2.,R,08:35 am-09:25 am,David Titley-Péloquin,RAYMND 2-045
AEPH,114,Laboratory,Introductory Physics 2.,R,04:35 pm-06:25 pm,David Titley-Péloquin,MACSTW B-016
AEPH,115,Lecture,Physics 2.,MW,08:35 am-09:55 am,David Titley-Péloquin,RAYMND 2-045
AEPH,115,Laboratory,Physics 2.,R,02:35 pm-04:25 pm,David Titley-Péloquin,MACSTW B-016
AEPH,115,Tutorial,Physics 2.,F,11:35 am-12:25 pm,David Titley-Péloquin,MACSTW B-016
AEPH,115,Tutorial,Physics 2.,R,11:35 am-12:25 pm,David Titley-Péloquin,MACSTW B-016
AERO,410,Lecture,Aerospace Design and Certification Process.,W,05:35 pm-08:25 pm,Christopher Mruczek,ENGTR 2100
AGEC,201,Lecture,Principles of Macroeconomics.,WF,08:35 am-09:55 am,Kakali Mukhopadhyay,RAYMND 4-047
AGEC,201,Lecture,Principles of Macroeconomics.,WF,08:35 am-09:55 am,Kakali Mukhopadhyay,RAYMND 4-047
AGEC,201,Lecture,Principles of Macroeconomics.,R,08:35 am-09:55 am,Kakali Mukhopadhyay,RAYMND 4-047
AGEC,231,Lecture,Economic Systems of Agriculture.,TR,02:35 pm-03:55 pm,Mary Kathryn Doidge,CENTEN 212
AGEC,320,Lecture,Intermediate Microeconomic Theory.,TR,04:05 pm-05:25 pm,Gaoussou Diarra,CENTEN 1-163
AGEC,430,Lecture,"Agriculture, Food and Resource Policy.",R,02:35 pm-05:25 pm,Gordon Maxwell Hickey,BARTON 1-015
AGEC,442,Lecture,Economics of International Agricultural Development.,TR,11:35 am-12:55 pm,Gaoussou Diarra,BARTON 1-015
AGEC,633,Lecture,Environmental and Natural Resource Economics.,WF,02:35 pm-03:55 pm,Paul Thomassin,RAYMND 2-046
AGEC,633,Lecture,Environmental and Natural Resource Economics.,WF,02:35 pm-03:55 pm,Paul Thomassin,RAYMND 2-046
AGEC,633,Lecture,Environmental and Natural Resource Economics.,R,02:35 pm-03:55 pm,Paul Thomassin,RAYMND 2-046
AGEC,690,Seminar,Seminar in Agricultural Economics.,F,11:35 am-12:55 pm,Paul Thomassin,RAYMND 1-042
AGEC,690,Seminar,Seminar in Agricultural Economics.,R,11:35 am-12:55 pm,Paul Thomassin,RAYMND 1-042
AGRI,196,Seminar,Freshman Seminar 2.,T,10:05 am-11:25 am,Fernando Altamura,RAYMND 2-045
AGRI,330,Lecture,Agricultural Legislation.,W,04:05 pm-04:55 pm,Mathieu Leduc,BARTON 1-015
AGRI,340,Lecture,Principles of Ecological Agriculture.,MW,01:05 pm-02:25 pm,Caroline B Begg,RAYMND 3-048
AGRI,340,Conference,Principles of Ecological Agriculture.,F,03:35 pm-05:25 pm,Caroline B Begg,CENTEN 1-150
AGRI,340,Conference,Principles of Ecological Agriculture.,R,03:35 pm-05:25 pm,Caroline B Begg,CENTEN 1-150
AGRI,411,Conference,"Global Issues on Development, Food and Agriculture.",MW,09:35 am-11:25 am,Elsa Vasseur,RAYMND 4-045
AGRI,430,Lecture,Professional Practice in Agrology.,WF,12:05 pm-12:55 pm,Julie Major,RAYMND 4-045
AGRI,430,Lecture,Professional Practice in Agrology.,WF,12:05 pm-12:55 pm,Julie Major,RAYMND 4-045
AGRI,430,Lecture,Professional Practice in Agrology.,R,12:05 pm-12:55 pm,Julie Major,RAYMND 4-045
AGRI,493,Lecture,International Project Management.,W,02:35 pm-05:25 pm,Ebenezer Miezah Kwofie,BARTON 1-016
ANAT,212,Lecture,Molecular Mechanisms of Cell Function.,MWF,10:35 am-11:25 am,"Arnim Pause , Maxime Bouchard , Imed Gallouzi , Dieter Reinhardt , Jason Chong Young",MCMED 522
ANAT,212,Lecture,Molecular Mechanisms of Cell Function.,R,10:35 am-11:25 am,"Arnim Pause , Maxime Bouchard , Imed Gallouzi , Dieter Reinhardt , Jason Chong Young",MCMED 522
ANAT,262,Lecture,Introductory Molecular and Cell Biology.,TR,04:05 pm-05:25 pm,"John Presley , Susanne Bechstedt , Khanh Huy Bui , Ursula Stochaj",SADB M-1
ANAT,314,Lecture,Human Musculoskeletal Anatomy .,WF,03:35 pm-04:25 pm,"Mikaela Liis Stiver , Mette Calve Coleman",SADB 1/12
ANAT,314,Lecture,Human Musculoskeletal Anatomy .,WF,03:35 pm-04:25 pm,"Mikaela Liis Stiver , Mette Calve Coleman",SADB 1/12
ANAT,314,Lecture,Human Musculoskeletal Anatomy .,R,03:35 pm-04:25 pm,"Mikaela Liis Stiver , Mette Calve Coleman",SADB 1/12
ANAT,314,Laboratory,Human Musculoskeletal Anatomy .,W,10:35 am-12:25 pm,"Mikaela Liis Stiver , Mette Calve Coleman",SADB 2/49
ANAT,314,Laboratory,Human Musculoskeletal Anatomy .,W,10:35 am-12:25 pm,"Mikaela Liis Stiver , Mette Calve Coleman",SADB 2/49
ANAT,316,Lecture,Clinical Human Visceral Anatomy .,TR,11:35 am-12:25 pm,Campbell Rolian,MDHAR G-10
ANAT,316,Laboratory,Clinical Human Visceral Anatomy .,M,09:35 am-11:25 am,Campbell Rolian,SADB 2/49
ANAT,316,Laboratory,Clinical Human Visceral Anatomy .,W,09:35 am-11:25 am,Campbell Rolian,SADB 2/49
ANAT,316,Laboratory,Clinical Human Visceral Anatomy .,F,09:35 am-11:25 am,Campbell Rolian,SADB 2/49
ANAT,316,Laboratory,Clinical Human Visceral Anatomy .,R,09:35 am-11:25 am,Campbell Rolian,SADB 2/49
ANAT,322,Lecture,Neuroendocrinology.,TR,04:05 pm-05:25 pm,"Claire Dominique Walker , Daniel Bernard , Nicolas Cermakian , Maia V Kokoeva , Kai-Florian Storch , Thomas Stroh , Michael Tamilia",SADB 2/36
ANAT,416,Lecture,"Development, Disease and Regeneration.",MW,10:05 am-11:25 am,"Khanh Huy Bui , Gregor Andelfinger , Andrew Bateman , Michel Cayouette , Natasha Chang , Frederic Charron , Jun-Li Liu , Luke McCaffrey , Christian Rocheleau , Peter Michael Siegel , Hideto Takahashi",MCMED 1034
ANAT,458,Lecture,Membranes and Cellular Signaling.,MWF,08:35 am-09:25 am,"Maxime Denis , Chantal Autexier , Nathalie Lamarche , Dieter Reinhardt",MCMED 1034
ANAT,458,Lecture,Membranes and Cellular Signaling.,R,08:35 am-09:25 am,"Maxime Denis , Chantal Autexier , Nathalie Lamarche , Dieter Reinhardt",MCMED 1034
ANAT,514,Lecture,Advanced Human Anatomy Laboratory.,M,11:35 am-12:25 pm,Gabriel Venne,MCMED 908
ANAT,514,Lecture,Advanced Human Anatomy Laboratory.,W,11:35 am-12:25 pm,Gabriel Venne,MCMED 908
ANAT,514,Laboratory,Advanced Human Anatomy Laboratory.,TR,09:35 am-11:25 am,Gabriel Venne,SADB 2/49
ANAT,541,Lecture,Cell and Molecular Biology of Aging.,M,02:35 pm-05:25 pm,"Stephanie Lehoux , Chantal Autexier , Colin Crist , Lisbet Agneta Haglund , Francois Mercier , Peter Michael Siegel , Jeremy Michael Van Raamsdonk , Maria Vera Ugalde",EDUC 431
ANAT,541,Lecture,Cell and Molecular Biology of Aging.,W,02:35 pm-05:25 pm,"Stephanie Lehoux , Chantal Autexier , Colin Crist , Lisbet Agneta Haglund , Francois Mercier , Peter Michael Siegel , Jeremy Michael Van Raamsdonk , Maria Vera Ugalde",EDUC 431
ANAT,542,Lecture,Transmission Electron Microscopy of Biological Samples.,TR,11:35 am-12:25 pm,"Natalie Zeytuni , Khanh Huy Bui , Joaquin Ortega , Natalie Reznikov",STBIO N5/1
ANAT,542,Laboratory,Transmission Electron Microscopy of Biological Samples.,M,02:35 pm-05:25 pm,"Natalie Zeytuni , Khanh Huy Bui , Joaquin Ortega , Natalie Reznikov",SADB B/32
ANAT,542,Laboratory,Transmission Electron Microscopy of Biological Samples.,W,02:35 pm-05:25 pm,"Natalie Zeytuni , Khanh Huy Bui , Joaquin Ortega , Natalie Reznikov",SADB B/32
ANAT,565,Lecture,Diseases-Membrane Trafficking.,F,02:35 pm-05:25 pm,"John Presley , Nathalie Lamarche , Stephane Lefrancois , Tommy Nilsson , Alexei Pshezhetsky",FERR 105
ANAT,565,Lecture,Diseases-Membrane Trafficking.,R,02:35 pm-05:25 pm,"John Presley , Nathalie Lamarche , Stephane Lefrancois , Tommy Nilsson , Alexei Pshezhetsky",FERR 105
ANAT,690D2,Lecture,Cell and Developmental Biology.,F,09:05 am-11:55 am,"Susanne Bechstedt , Chantal Autexier , Timothy E Kennedy , Joaquin Ortega , Stefano Stifani , Natalie Zeytuni",TBA
ANAT,690D2,Lecture,Cell and Developmental Biology.,R,09:05 am-11:55 am,"Susanne Bechstedt , Chantal Autexier , Timothy E Kennedy , Joaquin Ortega , Stefano Stifani , Natalie Zeytuni",TBA
ANSC,234,Lecture,Biochemistry 2.,WF,08:35 am-09:55 am,Sherin Ali Dr Nawaito,RAYMND 2-046
ANSC,234,Lecture,Biochemistry 2.,WF,08:35 am-09:55 am,Sherin Ali Dr Nawaito,RAYMND 2-046
ANSC,234,Lecture,Biochemistry 2.,R,08:35 am-09:55 am,Sherin Ali Dr Nawaito,RAYMND 2-046
ANSC,234,Laboratory,Biochemistry 2.,W,02:35 pm-05:25 pm,Deborah Martin,MACSTW B-031
ANSC,234,Laboratory,Biochemistry 2.,W,02:35 pm-05:25 pm,Deborah Martin,MACSTW B-031
ANSC,234,Laboratory,Biochemistry 2.,W,06:05 pm-08:55 pm,Deborah Martin,MACSTW B-031
ANSC,234,Laboratory,Biochemistry 2.,W,06:05 pm-08:55 pm,Deborah Martin,MACSTW B-031
ANSC,251,Lecture,Comparative Anatomy.,M,02:35 pm-05:25 pm,Denyse Laurin,BARTON 1-016
ANSC,251,Lecture,Comparative Anatomy.,W,02:35 pm-05:25 pm,Denyse Laurin,BARTON 1-016
ANSC,251,Laboratory,Comparative Anatomy.,R,02:35 pm-05:25 pm,Denyse Laurin,MACSTW B-063
ANSC,301,Lecture,Principles of Animal Breeding.,TR,08:35 am-09:55 am,Kevin Wade,BARTON 1-016
ANSC,301,Laboratory,Principles of Animal Breeding.,M,10:35 am-12:25 pm,Kevin Wade,BARTON 1-015
ANSC,301,Laboratory,Principles of Animal Breeding.,W,10:35 am-12:25 pm,Kevin Wade,BARTON 1-015
ANSC,312,Lecture,Animal Health and Disease.,TR,11:35 am-12:55 pm,Vilceu Bordignon,RAYMND 4-047
ANSC,312,Conference,Animal Health and Disease.,T,03:05 pm-04:55 pm,Vilceu Bordignon,CENTEN 1-162
ANSC,324,Lecture,Developmental Biology and Reproduction.,WF,10:05 am-11:25 am,Hernán Baldassarre,RAYMND 4-047
ANSC,324,Lecture,Developmental Biology and Reproduction.,WF,10:05 am-11:25 am,Hernán Baldassarre,RAYMND 4-047
ANSC,324,Lecture,Developmental Biology and Reproduction.,R,10:05 am-11:25 am,Hernán Baldassarre,RAYMND 4-047
ANSC,324,Laboratory,Developmental Biology and Reproduction.,F,01:05 pm-03:55 pm,Hernán Baldassarre,MACSTW B-032
ANSC,324,Laboratory,Developmental Biology and Reproduction.,R,01:05 pm-03:55 pm,Hernán Baldassarre,MACSTW B-032
ANSC,350,Lecture,Food-Borne Pathogens.,WF,11:35 am-12:55 pm,Jen Ronholm,BARTON 1-015
ANSC,350,Lecture,Food-Borne Pathogens.,WF,11:35 am-12:55 pm,Jen Ronholm,BARTON 1-015
ANSC,350,Lecture,Food-Borne Pathogens.,R,11:35 am-12:55 pm,Jen Ronholm,BARTON 1-015
ANSC,400,Lecture,Eukaryotic Cells and Viruses.,WF,04:05 pm-05:25 pm,"Alexander Dr Bekele-Yitbarek , Fernando Altamura",RAYMND 4-045
ANSC,400,Lecture,Eukaryotic Cells and Viruses.,WF,04:05 pm-05:25 pm,"Alexander Dr Bekele-Yitbarek , Fernando Altamura",RAYMND 4-045
ANSC,400,Lecture,Eukaryotic Cells and Viruses.,R,04:05 pm-05:25 pm,"Alexander Dr Bekele-Yitbarek , Fernando Altamura",RAYMND 4-045
ANSC,424,Lecture,Metabolic Endocrinology.,TR,08:35 am-09:55 am,Raj Duggavathi,RAYMND 2-046
ANSC,424,Laboratory,Metabolic Endocrinology.,W,03:35 pm-05:25 pm,Raj Duggavathi,RAYMND 2-045
ANSC,424,Laboratory,Metabolic Endocrinology.,W,03:35 pm-05:25 pm,Raj Duggavathi,RAYMND 2-045
ANSC,433,Lecture,Animal Nutrition and Metabolism.,TR,11:35 am-12:55 pm,Sergio Alejandro Burgos,RAYMND 4-046/048
ANSC,433,Laboratory,Animal Nutrition and Metabolism.,M,03:35 pm-05:25 pm,Sergio Alejandro Burgos,MACSTW 2-028
ANSC,433,Laboratory,Animal Nutrition and Metabolism.,W,03:35 pm-05:25 pm,Sergio Alejandro Burgos,MACSTW 2-028
ANSC,451,Lecture,Dairy and Beef Production Management.,MW,01:05 pm-02:25 pm,"Raj Duggavathi , Sergio Alejandro Burgos",RAYMND 2-046
